line,InlineInspectionFeatureId,vendor,tool,ILIRStartDate,status,type,surface,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,begin_PS,end_PS,MAOP_kPa,begin_maop,end_maop
EV106/116/117 NPS 6,4658603,Onstream,MFL,2010-08-11,Active,Metal Loss,I ,7.9184,0.18,28,17,6.625,4.8,290,NULL,1989-01-01,5.214,6152.062,9930,0,6172.299
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139591,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,123.80471,0.13,14,30,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139592,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,123.90883,0.11,22,47,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139593,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,124.00903,0.1,26,25,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
EV106/116/117 NPS 6,4658604,Onstream,MFL,2010-08-11,Active,Metal Loss,E ,148.07604,0.12,14,53,6.625,4.8,290,NULL,1989-01-01,5.214,6152.062,9930,0,6172.299
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139594,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,154.20453,0.18,14,30,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139595,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,154.4141,0.16,14,25,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139596,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,154.46712,0.15,14,34,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139597,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,203.73794,0.24,14,25,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139598,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,217.5747,0.13,26,34,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139599,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,240.13534,0.16,18,13,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139600,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,240.19137,0.19,14,21,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139601,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,240.2254,0.16,18,21,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139602,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,410.17564,0.11,46,103,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139603,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,499.9467,0.11,14,25,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
EV106/116/117 NPS 6,4658605,Onstream,MFL,2010-08-11,Active,Metal Loss,E ,529.66281,0.11,24,46,6.625,4.8,290,NULL,1989-01-01,5.214,6152.062,9930,0,6172.299
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139604,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,680.43859,0.18,14,38,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139605,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,680.43859,0.22,10,47,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139606,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,717.48279,0.15,14,38,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139607,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,736.37246,0.19,10,30,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139608,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,754.39042,0.15,18,51,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139609,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,754.44854,0.16,18,42,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139610,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,807.63585,0.17,18,38,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139611,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,807.63785,0.1,26,60,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139612,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,881.77211,0.13,10,34,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139613,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,881.8163,0.11,18,56,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139614,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,900.25792,0.1,14,42,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139615,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1030.3023,0.1,26,47,4.5,3.175,290,NULL,1981-01-01,123.7,1080.18,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139616,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1184.19416,0.13,10,30,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139617,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1388.21777,0.17,22,17,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139618,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1425.31053,0.16,10,30,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139619,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1442.13718,0.14,26,30,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139620,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,1879.34515,0.16,14,17,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139621,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2125.95469,0.14,18,25,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139622,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2181.55266,0.16,8,38,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139623,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2236.74862,0.12,14,34,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139624,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2292.35255,0.14,28,42,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139625,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2329.43048,0.16,10,17,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139626,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2446.74767,0.11,18,42,4.5,3.175,290,NULL,1981-01-01,1116.84,2512.7,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139627,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2531.3844,0.14,14,37,4.5,4.7752,290,NULL,1981-01-01,2512.7,2549.36,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139628,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2671.47063,0.14,26,25,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139629,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2689.88869,0.13,18,21,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139630,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2719.27467,0.1,14,56,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139631,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,2841.66062,0.13,22,30,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139632,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3026.23948,0.11,14,42,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139633,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3082.27252,0.13,10,34,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139634,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3082.30661,0.16,28,30,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139635,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3119.34442,0.14,10,42,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139636,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3119.37448,0.13,14,42,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139637,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3227.35334,0.15,32,34,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139638,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3227.79643,0.13,18,42,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139639,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3246.2202,0.17,14,21,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139640,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3264.36336,0.15,10,30,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139641,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3264.8386,0.16,36,34,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139642,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3264.84261,0.16,14,17,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139643,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3264.84663,0.13,18,47,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139644,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3320.02338,0.11,32,81,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139645,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3320.45845,0.13,18,21,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139646,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3320.47248,0.17,28,17,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139647,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3486.21725,0.17,10,34,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139648,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3486.23932,0.13,14,51,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139649,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3486.24333,0.16,10,34,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
MEDICINE RIVER LATERAL 10-14 TO 09-27 NPS 4,6139650,Onstream,MFL,2014-01-16,Active,Metal Loss,E ,3560.30764,0.16,26,38,4.5,3.175,290,NULL,1981-01-01,2653.52,3824.14,9930,0,3838.69
EV106/116/117 NPS 6,4658606,Onstream,MFL,2010-08-11,Active,Metal Loss,E ,4330.83251,0.16,10,17,6.625,4.8,290,NULL,1989-01-01,5.214,6152.062,9930,0,6172.299
EV106/116/117 NPS 6,4658607,Onstream,MFL,2010-08-11,Active,Metal Loss,E ,7307.75024,0.11,18,23,6.625,4.8,290,NULL,1989-01-01,6195.772,18434.17,9930,6172.299,18938.484
EV106/116/117 NPS 6,4658608,Onstream,MFL,2010-08-11,Active,Metal Loss,I ,7459.11935,0.17,10,10,6.625,4.8,290,NULL,1989-01-01,6195.772,18434.17,9930,6172.299,18938.484
