line,InlineInspectionCrackAnomalyId,vendor,tool,ILIRStartDate,status,type,surface,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,begin_PS,end_PS,MAOP_kPa,begin_maop,end_maop
pipeline,1020635,Rosen,AFD,2016-02-19 12:00:00,Active,Long Seam Weld Anomaly,E,61127.17892,0.28,28,28,12.75,8.382,317,17.6,1955-01-01 12:00:00,60505.99,61441.3,8270,16541.42,61441.3
pipeline,1020652,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61128.17892,0.28,39,39,12.75,8.382,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1020655,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61129.17892,0.37,50,50,12.75,8.382,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1020777,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61130.17892,0.2,43,43,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1020789,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61131.17892,0.13,53,53,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1020965,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61132.17892,0.15,76,76,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1020986,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61133.17892,0.26,22,22,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021023,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61134.17892,,288,288,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021026,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61135.17892,0.22,61,61,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021027,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61136.17892,0.46,31,31,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021028,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61137.17892,0.32,13,13,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021033,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61138.17892,0.27,23,23,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021037,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61139.17892,0.34,53,53,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021039,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61140.17892,0.43,33,33,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021040,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61141.17892,0.18,42,42,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021044,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61142.17892,0.26,37,37,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021045,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61143.17892,0.18,42,42,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021048,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61144.17892,0.23,37,37,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021049,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61145.17892,0.29,69,69,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021050,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61146.17892,0.17,46,46,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021062,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61147.17892,0.35,31,31,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021065,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61148.17892,0.28,30,30,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021070,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61149.17892,0.33,15,15,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021075,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61150.17892,0.28,44,44,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021082,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61151.17892,0.14,50,50,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
