line,id,vendor,US_GWD_number,DS_GWD_number,tool,ILIRStartDate,status,type,vendor_comment,feature_number,feature_ODO,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,install_date,toughness_J,MAOP_kPa,begin_PS,end_PS,begin_VTS,end_VTS,begin_maop,end_maop,start_ILI_segment_m,end_ILI_segment_m
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102614,Rosen,70,80,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000156,32.737,31.728,0.44,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102613,Rosen,70,80,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000157,33.303,32.282,0.33,46,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102612,Rosen,80,81,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000173,50.19,48.655,0.17,72,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102611,Rosen,150,160,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000225,115.762,113.859,0.31,76,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102610,Rosen,190,200,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000248,173.531,171.559,0.27,34,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102609,Rosen,210,220,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000266,196.641,194.637,0.33,94,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102608,Rosen,210,220,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000270,207.665,205.648,0.28,44,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102607,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000281,216.776,214.748,0.28,58,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102606,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000293,223.069,221.033,0.28,40,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102605,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000294,223.467,221.431,0.3,76,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
