line,FeatureID,vendor,tool,ILIRStartDate,status,type,ILIFSurfaceInd,chainage_m,depth_fraction,length_mm,width_mm,vendor_cgr_mmpyr,vendor_cgr_sd,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,coating_type,incubation_yrs,MAOP_kPa
NPS 16 FOX CREEK,6406666,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,7604.4535,0.07,79,79,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406667,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6235.3658,0.08,32,32,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406668,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6269.1261,0.08,81,81,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406669,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6317.0834,0.07,30,30,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406670,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6278.6986,0.09,88,88,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406671,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6261.99,0.07,35,35,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406672,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6236.9904,0.05,36,36,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406673,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6276.9418,0.05,70,70,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406674,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6339.2941,0.11,26,26,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406675,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6265.3949,0.05,40,40,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406676,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6307.6286,0.05,24,24,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406677,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6304.511,0.05,56,56,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406678,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6337.4796,0.11,75,75,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406679,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6325.439,0.11,22,22,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406680,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6284.9842,0.05,20,20,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406681,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6372.522,0.07,67,67,,,16,9.53,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406682,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6308.288,0.06,39,39,,,16,9.53,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406683,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6310.6533,0.07,25,25,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406684,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6372.1976,0.05,40,40,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406685,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6284.825,0.06,67,67,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406686,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6260.1178,0.08,62,62,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406687,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6260.1898,0.07,35,35,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_ROCKSHIELD,0,9930
NPS 16 FOX CREEK,6406688,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6302.1736,0.06,39,39,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406689,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6314.0414,0.09,52,52,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406690,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6293.9281,0.05,39,39,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406691,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6317.7688,0.07,65,65,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406692,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6286.6969,0.06,65,65,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
