Cell Label,Matrix 'Consequence' Label,Matrix 'Probability' Label,Legend Label,Line Name,Begin Measure (m),End Measure (m),Length (m)
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,809.771,839.762,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,989.72,1019.711,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,1529.567,1559.558,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,1889.465,1919.456,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2039.422,2069.414,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2519.286,2549.278,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2579.269,2609.261,29.992
11,II,Frequent,HIGH Risk,BRETON TO EDMONTON NPS 8,2639.252,2651.001,11.749
11,II,Frequent,HIGH Risk,BRETON TO EDMONTON NPS 8,2651.001,2669.244,18.243
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2759.218,2789.21,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2819.201,2849.193,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,2879.184,2909.176,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,3149.108,3179.099,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,3239.082,3269.074,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,3628.972,3658.963,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,4228.802,4258.793,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,4318.776,4348.768,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,4888.615,4918.607,29.992
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,5218.522,5248.513,29.992
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,5608.411,5622.461,14.05
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,5622.461,5638.403,15.942
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,5788.36,5818.352,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6298.216,6328.207,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6418.182,6426.612,8.43
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6426.612,6448.173,21.561
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6658.114,6688.105,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6868.054,6871.857,3.803
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,6871.857,6898.046,26.189
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,7197.961,7227.952,29.992
11,II,Frequent,HIGH Risk,BRETON TO EDMONTON NPS 8,7317.927,7347.918,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,7767.799,7797.791,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,7797.791,7824.323,26.532
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,7824.323,7827.782,3.459
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,7887.765,7917.757,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,8037.723,8046.72,8.997
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,8046.72,8067.714,20.994
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,8577.57,8607.561,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,8847.493,8877.485,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,8877.485,8907.476,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,9057.434,9087.425,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,9087.425,9117.417,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,9597.281,9627.273,29.992
